,Año,País,Jornada,Equipo local,Equipo visitante,Últimos partidos local,Últimos partidos visitante,Puntos totales local,Puntos totales visitante,PG local,PG visitante,PE local,PE visitante,PP local,PP visitante,Goles a favor local,Goles a favor visitante,Goles en contra local,Goles en contra visitante,Porterías a cero local,Porterías a cero visitante,Total tiros local,Total tiros visitante,Posesión equipo local,Posesión equipo visitante,Disparos equipo local,Disparos equipo visitante,Disparos a puerta equipo local,Disparos a puerta equipo visitante,Tarjetas amarillas equipo local,Tarjetas amarillas equipo visitante,Tarjetas rojas equipo local,Tarjetas rojas equipo visitante,Faltas equipo local,Faltas equipo visitante,Córners equipo local,Córners equipo visitante,Paradas equipo local,Paradas equipo visitante,Resultado,Clustering local,Clustering visitante
2300,2015,IT,3,Frosinone,Roma,EVDDD,VVDEV,0.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,27.0,38.0,0.43,0.57,18,20,5,3,4,3,0,0,16,15,3,8,1,5,2,,
2301,2015,IT,3,Fiorentina,Genoa,VVVVD,VVDDV,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,21.0,31.0,0.47,0.53,11,12,3,1,4,4,1,0,19,21,4,2,1,2,0,,
2302,2015,IT,3,Juventus,Chievo,VVEDD,DEDVV,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,7.0,3.0,1.0,0.0,1.0,31.0,21.0,0.69,0.31,26,6,7,3,3,5,0,0,21,20,5,3,2,5,1,,
2303,2015,IT,3,Hellas Verona,Torino,VEEED,VDVVV,1.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,0.0,0.0,24.0,36.0,0.51,0.49,12,10,3,5,5,2,0,0,18,20,3,3,3,1,1,,
2304,2015,IT,3,Palermo,Carpi,VDVVV,EDEDD,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,7.0,2.0,0.0,24.0,35.0,0.66,0.35,13,9,6,2,3,3,0,0,16,18,3,3,1,4,1,,
2305,2015,IT,3,Sassuolo,Atalanta,VVVVV,DEDDV,6.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,24.0,30.0,0.61,0.39,9,9,8,4,5,6,1,1,21,19,4,2,1,6,1,,
2306,2015,IT,3,Empoli,Napoli,DEDDD,VDDDE,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,5.0,4.0,0.0,0.0,32.0,41.0,0.41,0.59,16,17,2,4,2,4,0,0,12,14,5,5,2,0,1,,
2307,2015,IT,3,Lazio,Udinese,VDVVD,DDDVD,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,34.0,31.0,0.59,0.41,14,11,8,5,0,1,0,0,17,13,6,4,5,6,0,,
2308,2015,IT,3,Inter,Milan,DDVVV,DVVDV,6.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,33.0,15.0,0.51,0.49,16,19,4,3,2,3,0,0,19,16,6,7,3,3,0,,
2309,2015,IT,3,Sampdoria,Bologna,DEEVE,DEEDD,4.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,7.0,1.0,4.0,3.0,0.0,0.0,19.0,14.0,0.56,0.45,12,9,4,2,1,5,0,1,11,15,2,5,2,2,0,,
